country,year,fatal_pc_km,fatal_mIn,accid_adj_pc_km,p_km,croad_inv_km,croad_maint_km,prop_motorwa,populat,unemploy,petrol_car,alcohol,mot_index_1000,den_populat,cgdp,cgdp_cap,precipit,prop_elder,dps,freight
Austria,1998,1.09482038,93.09,224.1825,1.818621726,5523,3.835497156,1.52,6.901519184,4.7,1.47,12.9,487.64,95.04,15.44507463,34959.08,1374.86,15.36,0,1.495544338
Austria,1999,1.126780577,102.6,224.1825,1.826787239,5012.59,3.829760346,1.54,6.90213686,4.2,1.38,12.8,502.35,95.18,15.44068873,34558.19,1429.48,15.41,0,1.543819805
Austria,2000,1.092720645,94.85,224.1825,1.830396176,5937.96,3.802875619,1.53,6.903208696,3.9,1.42,13.2,511.99,95.41,15.45505815,35632.89,1329.12,15.42,0,1.557747742
Austria,2001,1.081347308,92.51,224.1825,1.833147112,7821.22,3.803166123,1.54,6.904225647,4,1.49,12.4,521.38,95.64,15.45594064,35622.19,1138.35,15.43,0,1.585799009
Austria,2002,1.048053173,85.69,224.1825,1.838597253,6387.88,3.547914936,1.54,6.906531184,4.4,1.73,12.5,494.44,96.14,15.45910588,35692.52,1308.67,15.49,0,1.596597096
Austria,2003,1.051923916,87.4,224.1825,1.844725628,7705.6,3.662819195,1.56,6.90849971,4.8,1.82,12.2,500.48,96.58,15.46682315,36167.35,982.83,15.44,0,1.608097946
Austria,2004,1.011993115,79.34,224.1825,1.848866211,8332.48,3.724388935,1.56,6.910761714,5.5,1.81,12.1,504.63,97.09,15.47866748,36975.15,1108.93,15.49,0,1.604118006
Austria,2005,0.955206538,69.01,224.1825,1.854670332,7776.7,3.700328955,1.56,6.913885876,5.6,1.86,12.4,506.87,97.79,15.49082901,37752.4,1115.98,15.95,1,1.580240508
Austria,2006,0.928395852,64.21,221.35,1.856668484,8935.1,3.741609298,1.56,6.916680197,5.3,1.79,12.4,509.43,98.42,15.50328666,38602.3,1161.19,16.45,1,1.604118006
Austria,2007,0.913283902,62.54,205.74,1.863441829,9370.59,3.718967289,1.56,6.918186875,4.9,1.8,12.5,512.62,98.76,15.52077166,40047.84,1258.92,16.89,1,1.584331224
Austria,2008,0.88592634,58.98,209.56,1.870871895,9133.03,3.688012925,1.56,6.919495965,4.1,1.72,12,515.77,99.06,15.52053593,39906.24,1320.21,17.14,1,1.547897718
Austria,2009,0.865103975,55.19,196.42,1.867349617,6807.48,3.722897052,1.54,6.920905813,5.3,1.65,11.3,523.1,99.38,15.51160265,38966.98,1411.63,17.39,1,1.478277832
Austria,2010,0.818885415,49.21,191.98,1.871981354,3775.72,3.733427597,1.5,6.921771974,4.8,1.68,12.1,531.75,99.58,15.51440164,39140.48,1337.01,17.64,1,1.472171147
Austria,2011,0.789580712,45.85,174.36,1.877659244,2606.96,3.628520731,1.38,6.922993372,4.6,1.59,11.9,538.86,99.86,15.52146499,39671.26,1031.38,17.64,1,1.470410491
